,Temperature,Humidity,Light,CO2,HumidityRatio
0,22,27.1,0,557,0.004430876
1,20.5,21.29,0,435.5,0.003168499
2,20.7,22.79,0,455.5,0.003435287
3,20.26,33.06,0,452.3333333,0.004860907
4,23.1,17,283.25,451,0.002964618
5,20.5,33.09,0,572,0.004938586
6,19.89,19.1,0,433,0.002735425
7,19.39,3174,0,461,0.003754695
8,20.29,19.1,0,466,0.00280431
9,20.6,19.5,0,440,0.002918891
10,19.29,31.2,0,437,0.004315694
11,22.125,,556.75,769.25,0.003341523
12,20.39,21.29,0,443,0.003146948
13,20.29,33.09,0,452.6666667,0.004874453
14,19.34,27.6,0,435,0.003826645
15,20.5,33.76,0,704,0.005039391
16,311.745,21.675,460,917.25,0.003483859
17,19.29,27.7,0,433,0.003828582
18,19.39,31.29,0,435,0.004355451
19,22.39,26.045,429,1046,0.004360252
20,20,25.29,0,442,0.003652056
21,19.89,28.625,389,595,0.004108567
22,20.79,31.96333333,441,1167,0.004855829
23,19.5,26.89,0,458,0.003765138
24,22.5,27.125,474,1063.5,0.004573078
25,21.2,25.245,0,455.5,0.003927249
26,1005.29,30.6,24,427.3333333,0.004232135
27,19.89,26.445,37,418,0.003793762
28,19.39,26.79,0,467,0.003725317
29,19.745,19.39,0,439,0.002752165
30,263.525,27.365,392.5,486.75,0.003838055
31,21.365,24.2225,441.75,746.25,0.003805773
32,22.2225,17.675,99.5,443.5,0.002922279
33,671.79,19.05,555.5,629.75,0.00306833
34,20.5,18.945,0,425,0.002817922
35,20.39,21.89,0,435,0.003236097
36,20.84,23.34,0,448,0.0035493
37,19.6,4467.6,0,435,0.004031255
38,20.2,32.79,0,447,0.004802909
39,19.5,30.2,0,436.5,0.004231757
40,20.29,22.89,0,440,0.003363776
41,20.89,23.5,0,448,0.003584847
42,20.85666667,19.76,433,628.3333333,0.00300536
43,20.89,23.6,0,451,0.00360019
44,747.5,3569.7,0,463,0.003738374
45,21.2,32.9,454,1110.75,0.00512792
46,22.7,17.6,345.5,453.75,0.002995924
47,21,24.89,0,445.5,0.003824119
48,22,27.1,0,570,0.004430876
49,19.7,3135.34,0,443,0.002737346
50,19.7,26.7,31,427.75,0.003785406
51,22.2675,25.89,449.5,785,0.004301716
52,22.89,17.6,333,454,0.003030803
53,21.39,33.29666667,469,1441,0.005251608
54,20.39,26.2,72.33333333,421.6666667,0.003877236
55,20.5,34.59,0,868.5,0.005164315
56,21.29,33.145,464,1430.25,0.005195269
57,19.2675,30.525,26.5,430,0.004215739
58,22.9175,16.89,193.5,441.5,0.002912837
59,20.29,19.2,0,465.5,0.002819058
60,22.1,2622,336.5,458.5,0.002954036
61,276,18.89,0,440,0.002723803
62,427.7,19.29,0,451,0.002730238
63,20.5,34.4,0,843,0.005135714
64,21.2,25.29,0,456,0.003934293
65,20.29,8900.79,0,439,0.002758593
66,21.84,21.6,429,904,0.003492059
67,19.7225,30,241,428.25,0.004262457
68,19.2225,31.15,10,435.5,0.004290524
69,20.32333333,21.29,0,449.3333333,0.003133949
70,864.1,21.63333333,490.6666667,925,0.00355372
71,21.2,25.29,0,468,0.003934293
72,20.945,24.39,0,440,0.003734112
73,19.1,30.89,9.333333333,430.3333333,0.004221877
74,19.7675,19.29,0,444.25,0.002741752
75,22.6,26.85666667,661.3333333,1105,0.004555296
76,20.5,19.245,0,441.5,0.00286275
77,19.89,26.79,0,443,0.003843561
78,20.745,,426,593.75,0.00524013
79,20.7,28.4175,255.5,432,0.004289407
80,20.89,23.1,0,455,0.003523482
81,22,21.15,469,877.75,0.003452645
82,756.29,32.9,0,471,0.004846247
83,20.89,36,0,1211.666667,0.005508567
84,21.34,25.7,0,474.5,0.004033195
85,19.7,19.5,0,452,0.002760093
86,20.1,33,0,444,0.004803862
87,21.39,20.5,0,724,0.003222838
88,21.16666667,25.39,0,450,0.003941824
89,19.39,26.39,0,467.5,0.003669366
90,22.29,28.35666667,502.3333333,1048.333333,0.004721179
91,22.29,28.42666667,487.3333333,1047,0.004732922
92,22.1,26.6,459,1036.5,0.004375336
93,19.89,27.1,0,438,0.003888314
94,345.3566667,17.5,119,442.3333333,0.002917044
95,710.9175,19.84,6,433.5,0.003028956
96,20.5,19.745,0,435,0.002937477
97,21.89,36.845,456,1667.5,0.005998868
98,19.89,18.89,0,437,0.002705218
99,20.6,21,0,435,0.003144556
100,21.16666667,19.5,0,493,0.003022951
101,19.29,27.5,0,426,0.00380077
102,20.39,18.65,0,433,0.002754992
103,19.2,31.55,0,432,0.004339871
104,20.2,18.6,0,430,0.002715358
105,19.89,26.5,33.5,422.5,0.0038017
106,19.65,19.34,0,442.5,0.002728822
107,20,18.79,0,433.6666667,0.002709321
108,20.5,1440.895,0,434.5,0.002810451
109,798.2,21.5,513.5,896,0.0035534
110,19.2,31.5,0,435,0.004332945
111,21.2,7726.365,0,465.75,0.003946035
112,20.675,31.4725,438,1041.5,0.004746688
113,20.39,19.075,168,455,0.002818058
114,20.9175,35.475,433,679.25,0.005436802
115,19.29,31.5,0,434.5,0.004357482
116,21.6,26.7,0,521,0.004258922
117,22.5,27,469,1063.5,0.00455185
118,19.39,30.6,24,435,0.004258748
119,20.5,19.29,0,483,0.002869474
120,20,18.76,0,439,0.002704977
121,22.175,38.9725,328,1986.5,0.006461252
122,20.7,5901.5,0,451.6666667,0.003391335
123,21.5,24.365,465.5,785.25,0.003860291
124,19.29,7685.89,36,435.25,0.004272519
125,20.815,18.815,205,458.5,0.00285361
126,440.89,23.5,0,443,0.003584847
127,424.29,18.6,267,463,0.002904785
128,20.245,18.65,0,430.5,0.00273031
129,856.4266667,26.03333333,0,467,0.003627801
130,19.39,27.2,0,460,0.003782676
131,19.5,30,0,434,0.004203543
132,22.2,24.55,433,912.25,0.004060778
133,19.39,31.05,0,434.5,0.004321812
134,19.39,26.89,0,472,0.003739306
135,20.1,33,0,452.5,0.004803862
136,825.2,23.7,0,440.5,0.003464038
137,19.2,31.5,0,433.5,0.004332945
138,458.525,19.075,0,432,0.002841746
139,638,24.5,0,443.5,0.003537326
140,983.79,20,0,464,0.003029523
141,20.525,34.7,0,891.25,0.005188939
142,19.39,27.39,0,425,0.003809261
143,21.29,21.29,460,837,0.003327133
144,22.89,17,171.75,438.5,0.002926994
145,21.39,25.7,0,486,0.004045656
146,21.7,20.46333333,480.6666667,795,0.003278996
147,20.1,33.09,0,442.5,0.004817065
148,19.39,31,0,434,0.004314804
149,19.79,19.29,0,440,0.002745599
150,19.79,19.1,0,439,0.002718438
151,21.2,19.39,0,472,0.003012003
152,20.2,32.9,0,450,0.004819147
153,763.5,1086.33,460,1060.666667,0.004607896
154,20.2,8191.89,0,440.5,0.002757882
155,20,18.79,0,433,0.002709321
156,20,26.29,47.66666667,423,0.003797345
157,22.05,26.34,469,1024.5,0.004318995
158,20.5,19.29,0,431.5,0.002869474
159,20.39,22,0,432,0.003252444
160,19.29,26.7,0,471,0.003689546
161,20.175,18.675,422.5,440.75,0.002722124
162,20.89,3751,0,462,0.003048317
163,20.2675,19.175,0,458,0.002811441
164,19.39,31.2,0,437.5,0.004342836
165,20.34,22.34,0,437,0.003292736
166,22.03333333,26.39,471,1044.333333,0.004322825
167,19.6,30.245,277.5,432.75,0.004264713
168,21.39,25.7,0,484,0.004045656
169,21.29,24.1,419,679,0.003768932
170,22.1,3653.83,478,1006.666667,0.004247817
171,19.29,9697.79,0,466,0.003702057
172,22.175,21.39,513.5,899.25,0.003529707
173,21.5,33.84,456.5,1455.5,0.005374442
174,19.63333333,27.73,399.6666667,512,0.003916008
175,20.5,19.89,0,439.5,0.002959152
176,22.1,21.6,499,893.3333333,0.003548213
177,253.7,28.5,0,440.5,0.00404226
178,22.075,21.3925,484,880.5,0.003508554
179,20.2,26.2,55,423.6666667,0.003831694
180,20.5,33.2,0,583.5,0.004955134
181,19.7,19.39,0,445,0.002744454
182,20.1,21.1,0,444,0.003063029
183,22.1,38.97,443.5,2011.25,0.00643107
184,20.35666667,22.29,0,434.3333333,0.00328873
185,20.5,18.7,0,436,0.002781317
186,19.89,4523.84,0,445,0.003850779
187,21.4175,18.5,288.25,461.5,0.002911871
188,20.1,33,0,443.5,0.004803862
189,470.2,8917.9,0,445,0.004819147
190,816.3233333,5230.39,0,430,0.003793389
191,21,32.645,454,1323,0.00502523
192,20.92666667,23.5,0,448,0.003592988
193,20.2,23.29,0,441,0.003403784
194,21.79,21.6,438,893,0.00348135
195,20.1,26.29,50,423,0.003821076
